STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
33,011,002802,6875,+42.993767,-071.512452
33,011,002901,8202,+42.929772,-071.487076
33,011,002902,6771,+42.965279,-071.521606
33,011,002903,8349,+42.931685,-071.555103
33,011,010100,5310,+42.784386,-071.478063
33,011,010201,4410,+42.790324,-071.505951
33,011,010202,2516,+42.792985,-071.524944
33,011,010301,4788,+42.758027,-071.517880
33,011,010302,4322,+42.763307,-071.504067
33,011,010400,5042,+42.770650,-071.473144
33,011,010500,4717,+42.765939,-071.464576
33,011,010600,6716,+42.757731,-071.452562
33,011,010700,1671,+42.757395,-071.463042
33,011,010801,2429,+42.752307,-071.466760
33,011,010802,5820,+42.756303,-071.473235
33,011,010900,6275,+42.746083,-071.477509
33,011,011000,4874,+42.738719,-071.453474
33,011,011101,3771,+42.704709,-071.457586
33,011,011102,3466,+42.713414,-071.446284
33,011,011200,7432,+42.716866,-071.470023
33,011,011300,4399,+42.725752,-071.484732
33,011,011401,5682,+42.724718,-071.511476
33,011,011402,5165,+42.730085,-071.497492
33,011,011500,2517,+42.736212,-071.517832
33,011,012101,5157,+42.786721,-071.428840
33,011,012102,3285,+42.803394,-071.393823
33,011,012201,1899,+42.750493,-071.430417
33,011,012202,5635,+42.767221,-071.434133
33,011,012301,5392,+42.756406,-071.391184
33,011,012302,4026,+42.723004,-071.415029
33,011,013101,3807,+42.820727,-071.447907
33,011,013102,4671,+42.864126,-071.456611
33,011,014101,3825,+42.884937,-071.475831
33,011,014102,2530,+42.825570,-071.487392
33,011,014201,5957,+42.877657,-071.541864
33,011,014202,6391,+42.887022,-071.496589
33,011,014301,2052,+42.825198,-071.515076
33,011,014302,5877,+42.836598,-071.528193
33,011,015100,5451,+42.876167,-071.624746
33,011,015200,6302,+42.840094,-071.589075
33,011,016100,3013,+42.845737,-071.665582
33,011,016202,5471,+42.808346,-071.672445
33,011,016203,3723,+42.827328,-071.638411
33,011,016204,3924,+42.832511,-071.666341
33,011,017101,3643,+42.722167,-071.575238
33,011,017102,4699,+42.767969,-071.577391
33,011,018001,2419,+42.736468,-071.685984
33,011,018002,3220,+42.741834,-071.652616
33,011,018501,1974,+42.755416,-071.800780
33,011,018502,1448,+42.740923,-071.749196
33,011,019000,3896,+42.835203,-071.755067
33,011,019501,1702,+42.897416,-071.772842
33,011,019502,2584,+42.897465,-071.679147
33,011,020000,6108,+42.982098,-071.679431
33,011,021001,5152,+43.105352,-071.731557
33,011,021002,3940,+43.046299,-071.697617
33,011,021500,5015,+43.030676,-071.861518
33,011,022000,1716,+42.941970,-071.868950
33,011,022501,2623,+42.742093,-071.889395
33,011,022502,4322,+42.783560,-071.857116
33,011,023001,3716,+42.874439,-071.957124
33,011,023002,2702,+42.908026,-071.932059
33,011,024000,1731,+42.975879,-071.978989
33,011,025000,2651,+43.049909,-071.953654
33,011,025501,3060,+43.138149,-071.895483
33,011,025502,3141,+43.122082,-071.939089
33,011,200101,3167,+42.730298,-071.361536
33,011,200201,2670,+42.721951,-071.336375
33,011,200300,4852,+42.725328,-071.290084
33,011,200400,3530,+42.992898,-071.464299
33,011,200500,3533,+42.753340,-071.319585
33,011,980101,0,+42.941043,-071.437277
33,013,003001,4350,+43.078866,-071.470445
33,013,003006,3907,+43.031546,-071.433013
33,013,003100,4707,+43.135510,-071.416881
