STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
72,001,956300,3868,+18.199418,-066.745797
72,001,956400,2645,+18.197598,-066.801658
72,001,956500,2762,+18.160616,-066.758400
72,001,956600,2088,+18.166173,-066.725580
72,001,956700,2034,+18.161977,-066.721700
72,001,956800,4623,+18.154674,-066.707058
72,003,430100,4930,+18.382967,-067.153138
72,003,430200,4886,+18.386763,-067.183108
72,003,430300,2200,+18.382696,-067.195311
72,003,430401,4350,+18.364598,-067.162566
72,003,430402,4421,+18.346625,-067.141709
72,003,430501,5983,+18.359130,-067.182243
72,003,430502,4204,+18.330665,-067.174754
72,003,430601,4153,+18.344635,-067.203611
72,003,430602,3009,+18.371649,-067.214511
72,003,990000,0,+18.412041,-067.213412
72,005,400100,5495,+18.495848,-067.100695
72,005,400300,2923,+18.502591,-067.129399
72,005,400400,3891,+18.472918,-067.156737
72,005,400501,3264,+18.475412,-067.133035
72,005,400502,5137,+18.467910,-067.143208
72,005,400600,2474,+18.448179,-067.149448
72,005,400700,2618,+18.453820,-067.154315
72,005,400800,1151,+18.434548,-067.154026
72,005,400900,1971,+18.438276,-067.150775
72,005,401200,3907,+18.415017,-067.133127
72,005,401301,3903,+18.444384,-067.133956
72,005,401303,3025,+18.479949,-067.095064
72,005,401304,3132,+18.455806,-067.122887
72,005,401401,4620,+18.466727,-067.077409
72,005,401402,4889,+18.443542,-067.104283
72,005,401500,2701,+18.418373,-067.154937
72,005,990000,0,+18.500831,-067.168354
72,007,230100,3446,+18.268210,-066.086786
72,007,230200,5396,+18.262863,-066.116417
72,007,230300,2482,+18.255351,-066.105976
72,007,230400,4391,+18.253415,-066.164865
72,007,230501,4333,+18.225838,-066.134884
72,007,230502,4175,+18.229339,-066.114844
72,009,250100,5597,+18.154189,-066.257991
72,009,250200,4927,+18.134258,-066.297175
72,009,250300,2639,+18.143463,-066.276336
72,009,250400,3193,+18.135631,-066.267497
72,009,250500,4052,+18.138028,-066.254033
72,009,250600,4229,+18.115237,-066.259820
72,011,810100,3081,+18.289652,-067.086966
72,011,810200,7239,+18.280155,-067.121479
72,011,810300,1871,+18.288064,-067.138233
72,011,810400,1070,+18.283173,-067.141486
72,011,810500,5253,+18.295026,-067.145469
72,011,810600,4342,+18.302454,-067.168048
72,011,810700,2740,+18.294681,-067.194152
72,011,990000,0,+18.277416,-067.216504
72,013,300101,5077,+18.453652,-066.628829
72,013,300102,5326,+18.446721,-066.623627
72,013,300200,3537,+18.483000,-066.641149
72,013,300301,2874,+18.437046,-066.682304
72,013,300302,5315,+18.447039,-066.660753
72,013,300400,1687,+18.480599,-066.685500
72,013,300500,798,+18.470873,-066.717944
72,013,300700,1103,+18.472814,-066.729668
72,013,300800,4831,+18.469092,-066.743117
72,013,301000,4845,+18.470764,-066.757353
72,013,301100,6844,+18.453730,-066.753793
72,013,301200,3300,+18.458344,-066.736318
72,013,301300,2985,+18.464748,-066.730564
72,013,301400,855,+18.461355,-066.723187
72,013,301500,5566,+18.445309,-066.742011
72,013,301600,3868,+18.427276,-066.734180
72,013,301700,4757,+18.415068,-066.751973
72,013,301800,1637,+18.367885,-066.750921
72,013,301900,4244,+18.382791,-066.680608
72,013,302000,2698,+18.429497,-066.672622
72,013,302100,5318,+18.418843,-066.647147
72,013,302201,2568,+18.397734,-066.604142
72,013,302202,4617,+18.423500,-066.612699
72,013,302300,3104,+18.372170,-066.611298
72,013,992900,0,+18.513432,-066.673421
72,015,280101,1858,+18.015406,-066.061652
72,015,280102,5254,+17.991967,-066.051782
72,015,280201,3716,+17.971354,-066.064898
72,015,280202,5015,+17.976024,-066.048184
72,015,991500,0,+17.927923,-066.030643
72,017,590100,6501,+18.463537,-066.557955
72,017,590200,3697,+18.453264,-066.539907
72,017,590300,7295,+18.440555,-066.562992
72,017,590400,5164,+18.419866,-066.567024
72,017,990000,0,+18.515134,-066.557503
72,019,952201,4215,+18.222235,-066.295707
72,019,952202,5369,+18.208161,-066.277547
72,019,952301,3771,+18.203810,-066.339826
72,019,952302,6319,+18.222254,-066.318596
72,019,952400,2038,+18.185305,-066.309965
72,019,952500,7271,+18.175880,-066.324923
